dispatch_logic_name,break_point_1,break_point_2,break_point_3,break_point_4
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_007High Elev NonWild,5,20,0,0
CA_CA_007Other,5,20,0,0
CA_CA_007Other,5,20,0,0
CA_CA_007Other,5,20,0,0
CA_CA_007Wilderness,5,20,0,0
CA_CA_007Wilderness,5,20,0,0
CA_CA_007Wilderness,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_007WUI,5,20,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_015CA FPU 15 WUI,30,59,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011WUI,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Other,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
CA_CA_011Wilderness,20,30,0,0
NW_OR_001Siuslaw North,14,40,0,0
NW_OR_001Siuslaw South,14,40,0,0
NW_OR_001Forest Access 2,15,30,50,100
NW_OR_001Forest Access 2,15,30,50,100
NW_OR_001Forest Access 2,15,30,50,100
NW_OR_001Forest Access 2,15,30,50,100
NW_OR_001Wilderness 2,15,30,50,100
NW_OR_001Wilderness 2,15,30,50,100
NW_OR_001Wilderness 2,15,30,50,100
NW_OR_001Wilderness 2,15,30,50,100
NW_OR_001Northwest 2,10,25,40,70
NW_OR_001Northwest 2,10,25,40,70
NW_OR_001Southwest 2,10,25,40,70
NW_OR_001Southwest 2,10,25,40,70
NW_OR_004Wild Study Area,10,22,35,0
NW_OR_004Wild Study Area,10,22,35,0
NW_OR_004Wild Study Area,10,22,35,0
NW_OR_004Wild Study Area,10,22,35,0
NW_OR_004WS WUI,10,22,35,55
NW_OR_004WS WUI,10,22,35,55
NW_OR_004WS WUI,10,22,35,55
NW_OR_004WS WUI,10,22,35,55
NW_OR_004WS Timber,20,40,64,71
NW_OR_004General Forest,25,45,64,0
NW_OR_004General Forest,25,45,64,0
NW_OR_004General Forest,25,45,64,0
NW_OR_004General Forest,25,45,64,0
NW_OR_004General Forest,25,45,64,0
NW_OR_004General Forest,25,45,64,0
NW_OR_004General Forest,25,45,64,0
NW_OR_004General Forest,25,45,64,0
NW_OR_004WUI,10,22,35,0
NW_OR_004WUI,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Juniper Sage,10,22,35,0
NW_OR_004Wilderness,25,45,64,0
NW_OR_004Wilderness,25,45,64,0
NW_OR_004Wilderness,25,45,64,0
NW_OR_004Wilderness,25,45,64,0
NW_OR_004Wilderness,25,45,64,0
NW_OR_004Wilderness,25,45,64,0
NW_OR_004WS ConditionUse,20,40,60,70
NW_OR_005H1-SP,20,30,50,0
NW_OR_005H1-SP,20,30,50,0
NW_OR_005H1-SP,20,30,50,0
NW_OR_005H1-SP,20,30,50,0
NW_OR_005H1-SP,20,30,50,0
NW_OR_005H1-SP,20,30,50,0
NW_OR_005P1/P2,20,30,40,0
NW_OR_005P1/P2,20,30,40,0
NW_OR_005P1/P2,20,30,40,0
NW_OR_005P1/P2,20,30,40,0
NW_OR_005P1/P2,20,30,40,0
NW_OR_005NF-1/NF-1SP,20,30,40,0
NW_OR_005NF-1/NF-1SP,20,30,40,0
NW_OR_005NF-1/NF-1SP,20,30,40,0
NW_OR_005NF-1/NF-1SP,20,30,40,0
NW_OR_005WW-1,20,30,40,0
NW_OR_005WildernessUMF,20,30,50,0
NW_OR_005WildernessUMF,20,30,50,0
NW_OR_005WildernessUMF,20,30,50,0
NW_OR_005PDT-1,20,30,40,0
NW_OR_005Mission WUI,20,40,80,0
NW_OR_005Mission WUI,20,40,80,0
NW_OR_005WW2/2A,20,30,40,0
NW_OR_005WW2/2A,20,30,40,0
NW_OR_005WW2/2A,20,30,40,0
NW_OR_005WW2/2A,20,30,40,0
NW_OR_005WW2/2A,20,30,40,0
NW_OR_005WW2/2A,20,30,40,0
NW_OR_006base2,13,26,51,61
NW_OR_006base2,13,26,51,61
NW_OR_006base2,13,26,51,61
NW_OR_006base2,13,26,51,61
NW_OR_006base2,13,26,51,61
NW_OR_006base2,13,26,51,61
NW_OR_006base2,13,26,51,61
NW_OR_006brown,13,26,51,61
NW_OR_006brown,13,26,51,61
NW_OR_006brown,13,26,51,61
NW_OR_006brown,13,26,51,61
NW_OR_006brown,13,26,51,61
NW_OR_006brown,13,26,51,61
NW_OR_006brown,13,26,51,61
NW_OR_006OE SMA,13,26,51,61
NW_OR_006OE SMA,13,26,51,61
NW_OR_006OE SMA,13,26,51,61
NW_OR_006OE SMA,13,26,51,61
NW_OR_006base,13,26,51,61
NW_OR_006base,13,26,51,61
NW_OR_006base,13,26,51,61
NW_OR_006Ironside,13,26,51,61
NW_OR_006Ironside,13,26,51,61
NW_OR_006Ironside,13,26,51,61
NW_OR_006Ironside,13,26,51,61
NW_OR_006Ironside,13,26,51,61
NW_OR_007Silver,13,26,51,61
NW_OR_007Silver,13,26,51,61
NW_OR_007Alvord North,13,26,51,61
NW_OR_007Alvord North,13,26,51,61
NW_OR_007Diamond,13,26,51,61
NW_OR_007Diamond,13,26,51,61
NW_OR_007Guano,13,26,51,61
NW_OR_007Thousand/Virgin,13,26,51,61
NW_OR_007Upper Malheur,13,26,51,62
NW_OR_007Home Creek,13,26,51,61
NW_OR_007Lakes,13,26,51,61
NW_OR_007Lakes,13,26,51,61
NW_OR_007Lakes,13,26,51,61
NW_OR_007Lakes,13,26,51,61
NW_OR_007Silvies,13,26,51,61
NW_OR_007Snow Mountian North,13,26,51,61
NW_OR_007Snow Mountain South,13,26,51,61
NW_OR_007Steens,13,26,51,61
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Desert,24,54,0,0
NW_OR_008Timber Special,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber,49,74,0,0
NW_OR_008Timber West,39,54,0,0
NW_OR_008State and Private,30,50,0,0
NW_OR_008State and Private,30,50,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005CA-CA-05,10,40,0,0
CA_CA_005Bay Area Parks,10,40,0,0
CA_CA_005Bay Area Parks,10,40,0,0
CA_CA_005Bay Area Parks,10,40,0,0
CA_CA_005Wilderness,10,40,0,0
CA_CA_005Wilderness,10,40,0,0
CA_CA_005Wilderness,10,40,0,0
CA_CA_005Wilderness,10,40,0,0
CA_CA_005Wilderness,10,40,0,0
CA_CA_003Wilderness,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003General suppression,34,60,0,0
CA_CA_003High resource values,34,60,0,0
CA_CA_003High resource values,34,60,0,0
CA_CA_003High resource values,34,60,0,0
CA_CA_003High resource values,34,60,0,0
CA_CA_003High resource values,34,60,0,0
CA_CA_003SW Wilderness,34,60,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFnotWild,20,50,0,0
CA_CA_001KNFWild,20,50,0,0
CA_CA_001KNFWild,20,50,0,0
CA_CA_001KNFWild,20,50,0,0
CA_CA_001KNFWild,20,50,0,0
CA_CA_001KNFWild,20,50,0,0
CA_CA_001Other sensitive,30,50,0,0
CA_CA_001Other sensitive,30,50,0,0
CA_CA_001Other sensitive,30,50,0,0
CA_CA_001Wilderness,30,50,0,0
CA_CA_001Wilderness,30,50,0,0
CA_CA_001SRFWild,20,40,0,0
CA_CA_001SRFWild,20,40,0,0
CA_CA_001SRFWild,20,40,0,0
CA_CA_001SRFWild,20,40,0,0
CA_CA_001SRFWild,20,40,0,0
CA_CA_001SRFWild,20,40,0,0
CA_CA_001SRFWild,20,40,0,0
CA_CA_001WUI,20,50,0,0
CA_CA_001WUI,20,50,0,0
CA_CA_001WUI,20,50,0,0
CA_CA_001WUI,20,50,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFWUI_HIA_YIA,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001SRFGen,20,40,0,0
CA_CA_001RWPALL,20,40,0,0
CA_CA_001RWPALL,20,40,0,0
CA_CA_001RWPALL,20,40,0,0
CA_CA_001RWPALL,20,40,0,0
CA_CA_001RWPALL,20,40,0,0
CA_CA_001RWPALL,20,40,0,0
NW_OR_009Block Card B-14,36,48,62,0
NW_OR_009Block Card B-5,36,48,62,0
NW_OR_009Block Card B-5,36,48,62,0
NW_OR_009Block Card B-5,36,48,62,0
NW_OR_009Block Card B-5,36,48,62,0
NW_OR_009Block Card W-1,36,48,62,0
NW_OR_009Block Card W-2,36,48,62,0
NW_OR_009Block Card B-3,36,48,62,0
NW_OR_009State,36,48,62,0
NW_OR_009Block Card L-7,36,48,62,0
NW_OR_009Block Card L-6,36,48,62,0
NW_OR_009Block Card L-6,36,48,62,0
NW_OR_009Block Card B-16,36,48,62,0
NW_OR_009FMU - Eagle Cap,36,48,62,0
NW_OR_009Block Card B-10,36,48,62,0
NW_OR_009Block Card B-10,36,48,62,0
NW_OR_009Block Card W-17,36,48,62,0
NW_OR_009Block Card B-7,36,48,62,0
NW_OR_009Block Card W-7,36,48,62,0
NW_OR_009Block Card W-7,36,48,62,0
NW_OR_009Block Card W-9,36,48,62,0
NW_OR_009Block Card W-9,36,48,62,0
NW_OR_009Block Card W-10,36,48,62,0
NW_OR_009Block Card W-18,36,48,62,0
NW_OR_009Block Card B-11,36,48,62,0
NW_OR_009Block Card B-11,36,48,62,0
NW_OR_009Block Card L-5,36,48,62,0
NW_OR_009Block Card L-5,36,48,62,0
NW_OR_009Block Card L-5,36,48,62,0
NW_OR_010Wilderness,20,40,60,0
NW_OR_010Wilderness,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_010General Forest,20,40,60,0
NW_OR_011WUI type,20,40,0,0
NW_OR_011WUI type,20,40,0,0
NW_OR_011WUI type,20,40,0,0
NW_OR_011WUI type,20,40,0,0
NW_OR_011WUI type,20,40,0,0
NW_OR_011WUI type,20,40,0,0
NW_OR_011WUI type,20,40,0,0
NW_OR_011general forest type,20,40,0,0
NW_OR_011general forest type,20,40,0,0
NW_OR_011general forest type,20,40,0,0
NW_OR_011general forest type,20,40,0,0
NW_WA_001San Juan NW001,10,20,0,0
NW_WA_001Lewis NW001,10,20,0,0
NW_WA_001Olympic Crew NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_001Standard NW001,10,20,30,0
NW_WA_002NZ SZ Protection,10,40,80,0
NW_WA_002NZ SZ Protection,10,40,80,0
NW_WA_002NZ GF Revision 1,10,40,80,0
NW_WA_002SZ Wild Rev 1,10,40,80,0
NW_WA_002SZ Wild Rev 1,10,40,80,0
NW_WA_002NZ SZ Protect Rev 1,10,40,80,0
NW_WA_002NZ SZ Protect Rev 1,10,40,80,0
NW_WA_002NZ SZ Protect Rev 1,10,40,80,0
NW_WA_002NZ SZ Protect Rev 1,10,40,80,0
NW_WA_002NZ SZ Protect Rev 1,10,40,80,0
NW_WA_002NZ Wild Rev 1,10,40,80,0
NW_WA_002SZ GF Revision 1,10,40,80,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
NW_WA_003Non-Wilderness,33,62,0,0
