dispatch_logic_name,break_point,large_airtanker,hand_crew,dozer,engines,air_boat,fire_boat,helicopter,helitack_crew,scooper_or_seat,smoke_jumper_aircraft,smoke_jumper,tractor_plow,water_tender
CA_CA_004USFS,1,0,0,0,2,0,0,0,0,0,0,0,0,0
CA_CA_010BLM West Valley,1,1,1,1,3,,,1,1,1,,,,1
CA_CA_010Wilderness,1,0,2,,2,,,1,1,1,,,,1
CA_CA_010WUI,1,1,1,1,3,,,1,1,1,,,,1
CA_CA_010Island,1,0,3,,1,,,3,3,,,,,
CA_CA_012ANF Mutual Aid Resp,1,2,3,2,15,0,0,0,1,,,,,2
CA_CA_012Standard ANF Resp,1,2,3,1,10,0,0,1,1,,,,,2
CA_CA_012ANF Response Wilder,1,2,3,0,5,0,0,1,1,,,,,0
GB_ID_002Non WUI Non Timber,1,,,,2,,,2,1,,1,1,,
GB_ID_002WUI Timber,1,,,,3,,,2,2,,1,1,,
GB_ID_002Non-WUI timber,1,,,,2,,,2,1,,1,1,,
GB_ID_002WFU logic,1,,,,1,,,2,2,,1,1,,
GB_ID_002WUI Non-Timber,1,,,,3,,,2,2,,1,1,,
GB_ID_003WFU,1,,1,,1,,,2,1,,2,20,,
GB_ID_003Desert/Range,1,,0,,1,,,2,1,,,,,
GB_ID_003Mountain,1,,1,,1,,,2,1,,1,8,,
GB_NV_001Pine Forest S. East,1,,,,2,,,,,,,,,
GB_NV_001I-80,1,,,,2,,,,,,,,,1
GB_NV_001Elliott Wrencing,1,,,,3,,,,,,,,,1
GB_NV_003Mt Rose Wilderness,1,0,1,,1,,,1,1,0,1,1,,
GB_NV_003Carson River,1,1,0,0,3,,,0,0,1,0,0,,
GB_NV_003Aurora no dozer,1,0,1,0,2,,,1,1,0,0,0,,
GB_NV_003Carson River ND,1,1,0,0,3,,,0,0,1,0,0,,
GB_NV_003Como,1,0,1,,1,,,0,0,0,0,0,,
GB_NV_003Churchill Ranges,1,0,2,0,2,,,1,1,0,1,2,,
GB_NV_003Lyon Basin,1,0,0,0,1,,,0,,0,0,0,,
GB_NV_003Fish Springs,1,0,0,0,2,,,0,0,0,0,0,,
GB_NV_003CCD SE ND,1,0,0,0,1,,,0,0,1,1,1,,
GB_NV_003Churchill Basin,1,0,2,0,3,,,1,1,0,1,2,,
GB_NV_003Reno/Sparks ND,1,1,0,0,5,,,0,0,1,0,0,,
GB_NV_003Reno/Sparks,1,1,0,0,5,,,0,0,1,0,0,,
GB_NV_003Bridgeport WUI,1,0,1,0,2,,,1,1,0,1,1,,
GB_NV_003Fish Springs ND,1,0,0,0,2,,,0,0,0,0,0,,
GB_NV_003CCD SE,1,0,0,0,1,,,0,0,1,1,1,,
GB_NV_004Master,1,,,,2,,,,,,1,4,,
GB_NV_004WUI,1,,,0,3,,,,,,,,,1
GB_NV_004WFU/WSA,1,,,,2,,,,,0,0,0,,0
GB_NV_006FWS Sensitive,1,,0,,1,,,1,1,0,,,,1
GB_NV_006Military Response,1,0,,,2,,,0,,,,,,1
GB_NV_006Grass WUI,1,0,1,,3,,,2,1,1,,,,1
GB_NV_006Critical Tort,1,0,0,0,1,,,1,1,1,0,0,,1
GB_NV_006High Juniper,1,,1,,2,,,1,1,,1,2,,
GB_UT_002SWT No Retardant,1,0,0,,2,,,0,0,0,0,0,,0
GB_UT_002SWT Four,1,0,0,,2,,,0,0,0,0,0,,0
GB_UT_004Low Risk,1,,1,,1,,,2,1,1,0,0,,
GB_UT_004Moderate Risk,1,,1,,1,,,2,1,1,0,0,,0
GB_UT_004High Risk,1,1,0,,1,,,2,1,1,0,0,,0
GB_UT_005All Zones HIEL,1,0,1,,1,,,4,1,,1,2,,1
GB_UT_005All Zones LOEL,1,0,1,,2,,,3,1,,1,2,,1
GB_WY_001WFU,1,,1,,1,,,1,1,,,,,
GB_WY_001NZ Protection,1,,1,,1,,,2,1,,,,,
GB_WY_001EZ Protection,1,,1,,1,,,2,1,,,,,
GB_WY_001NZ BCR,1,,1,,1,,,,,,,,,
GB_WY_001WZ BCR,1,,1,,1,,,2,1,,1,1,,
GB_WY_001EZ BCR,1,,1,,1,,,,,,,,,
GB_WY_001WZ Protection,1,,1,,1,,,2,1,,,,,
NR_ID_001Roadless,1,1,3,,0,,,4,2,3,2,4,,
NR_ID_001General_response,1,0,2,0,2,,,3,1,2,1,3,,1
NR_ID_001WUI,1,0,2,0,2,,,0,0,2,,,,1
NR_ID_001Wilderness,1,,3,,0,,,4,2,2,2,4,,
NR_MT_002FMU1/2,1,,1,,1,,,0,0,,,,,0
NR_MT_002FMU3,1,0,1,,1,,,0,0,,0,0,,
NR_MT_002FMU4,1,0,1,,1,,,0,0,,0,0,,
NR_MT_003FMU_WUI_Other,1,,1,0,2,,,1,1,1,0,0,0,1
NR_MT_003FMU_Wild,1,,1,,1,,,1,1,,1,2,,
NR_MT_003FMU2_RES,1,,1,,2,,,1,1,,1,2,,1
NR_MT_004FMU1_WUI,1,,1,1,2,,,1,1,,,,,1
NR_MT_004BIA_BFA,1,,1,0,2,,,0,0,0,,,,1
NR_MT_004FMU3,1,,1,,2,,,1,1,,1,2,,
NR_MT_004FMU2,1,,1,,2,,,1,1,,1,2,,
NR_MT_004FMU4_WFU,1,,1,,1,,,1,1,,,,,
NR_MT_005Modified,1,,2,,2,,,1,1,,,,,
NR_MT_005Limited Park,1,0,1,,1,,,1,1,,1,4,,
NR_MT_005Full,1,,2,,2,,,1,1,,,,,
NR_MT_005North Modified,1,,2,,2,,,1,1,,,,,
NR_MT_005Limited,1,,1,,1,,,1,1,,1,4,,
NR_MT_006NR_MT_006_FMU2_Wild,1,,1,,,,,1,1,,,,,
NR_MT_006NR_MT_006_FMU3,1,,1,,1,,,1,1,,,,,1
NR_MT_006NR_MT_006_FMU1,1,,2,,3,,,1,1,0,1,1,,1
NR_MT_006NR_MT_006_FMU2,1,,2,,3,,,,,,,,,
NR_MT_006NR_MT_006_FMU3_Wild,1,,1,,0,,,1,1,,,,,
"NR_MT_007DPA BLM (BO, SP)",1,,,,3,,,,,,,,,
"NR_MT_007BRKS, LR",1,,0,,1,,,,,,,,,1
NR_MT_007VFD IA Response,1,,,1,3,,,,,,,,,1
"NR_MT_007PF, IR, MON",1,,,,2,,,,,,,,,1
NR_MT_007Rocky Boy,1,,,,2,,,,,,,,,1
NR_MT_007CMR,1,,,,2,,,,,,,,,1
NR_MT_007Fort Belknap,1,,,,2,,,,,,,,,0
NR_MT_001WUI,1,,,,3,,,,,,,,,1
NR_MT_001Wilderness,1,,,,2,,,1,1,,,,,
NR_MT_001BIA Non WUI,1,,1,0,3,,,0,0,,,,,0
NR_MT_001Non WUI,1,0,,,4,,,0,0,0,,,,1
NR_MT_001BIA WUI,1,,0,0,3,,,0,0,,,,,0
NW_OR_002UPF GF LSR DL TL,1,,2,,2,,,2,1,,1,2,,
NW_OR_002UPF GF LSR CG NU,1,1,2,,1,,,,,,,,,
NW_OR_002UPF Wilderness,1,,2,,1,,,2,1,,1,2,,
NW_WA_008SPA Dispatch,1,0,0,1,1,0,0,1,1,0,0,0,0,1
NW_WA_008COA 4 FMZ 1-2 4 Lev.,1,0,1,0,2,0,0,1,1,1,0,0,0,1
SA_AR_001pcr general,1,,,0,1,,,,,,,,,
SA_AR_001GenFor IR AR01,1,,,0,1,,,,,,,,,0
SA_AR_001GenFor IR AR02,1,,,1,1,,,,,,,,,
SA_AR_001Wilderness IR,1,,,0,1,,,,,,,,,
SA_FL_001BICY Racoon Point,1,,,,2,,,1,1,0,,,,
SA_FL_001BICY-THRT-DOZERS,1,,,0,2,,,1,1,0,,,,
SA_FL_001EVER,1,,,,2,,,1,1,,,,,
SA_FL_001FPR,1,,,0,1,,,0,0,,,,,0
SA_FL_001LXR,1,,,,0,1,0,0,1,,,,,
SA_FL_001NKR,1,,,,1,,,0,0,,,,,0
SA_FL_001FLSEA Dispatch Log 1,1,,,,1,,,,,,,,1,
SA_FL_001JNR,1,,,,1,,,0,0,,,,,0
SA_FL_002OKR_Uplands,1,,,0,1,,,0,1,,,,1,
SA_FL_002FS_Wilderness,1,,,,2,,,,,,,,0,
SA_FL_002FS_Mixed_Ownership,1,,,,1,,,,,,,,1,
SA_FL_002FS_General_Forest,1,,,,1,,,,,,,,1,
SA_FL_002OKR_Wilderness,1,,,0,1,,,0,1,,,,0,
SA_FL_002FS_Pinhook,1,,,,2,,,,,,,,0,
SA_FL_002NPS,1,,,0,1,,,0,0,,,,0,
SA_FL_002Cumberland_Island,1,,,0,1,,,0,0,,,,0,
SA_FL_003Non_Particpating,1,,,,,,,,,,,,1,
SA_FL_003FS_Bombing_Range,1,,,,2,,,,1,,,,,
SA_FL_003FS_General_Forest,1,,,,1,,,,,,,,1,
SA_FL_003FS_Mixed_Ownership,1,,,,2,,,,,,,,1,1
SA_FL_003FS_Wilderrness,1,,,,2,,,,1,,,,,
SA_FL_003FWS_LRR,1,,,,1,,,,,,,,1,
SA_FL_003FWS_LWR_Marsh,1,,,,1,,,,1,,,,,
SA_FL_003FWS_LWR_Upland,1,,,,1,,,,,,,,1,
SA_FL_003FWS_MI_North,1,,,,2,,,,,,,,1,
SA_FL_003FWS_MI_South,1,,,,2,,,,1,,,,1,
SA_FL_003FWS_ST_Johns,1,,,,2,,,,,,,,1,
SA_FL_003FWS_Threat,1,,,,1,,,,,,,,,
SA_FL_003NPS_Can_North,1,,,,2,,,,,,,,,
SA_FL_003NPS_Can_South,1,,,,2,,,,,,,,,
SA_FL_003FS_Artillery Range,1,,,,2,,,,1,,,,,
SA_FL_004SVR_FMU_FWA,1,,,,1,,,,,,,,1,
SA_FL_004EGR_FMU_FWA,1,,,,1,,,,,,,,,
SA_FL_004FS_Threat,1,,,,1,,,,,,,,,
SA_FL_004FS_Military,1,,,,1,,,,1,,,,,
SA_FL_004LSR_FMU_FWA_NORTH,1,,,,1,,,,,,,,1,
SA_FL_004SMR_THT_FMU_FWA,1,,,,1,,,,,,,,1,
SA_FL_004LSR_FMU_FWA_SOUTH,1,,,,1,,,,,,,,1,
SA_FL_004SMR_FMU_SMR_EAST_FWA,1,,,0,1,,,,,,,,1,
SA_FL_004CHR_FMU_FWA,1,,,,1,,,,,,,,,
SA_FL_004SMR_FMU_SMR_WEST_FWA,1,,,,1,,,,,,,,1,
SA_FL_004FS_Mixed_Ownership,1,,,,1,,,,,,,,,
SA_FL_004FS_Wilderness,1,,,,1,,,,,,,,,
SA_FL_004FS_General_Forest,1,,,,1,,,,,,,,,
SA_GA_001Oconee,1,,,1,1,,,0,0,,,,0,
SA_GA_001Piedmont,1,,,0,1,,,0,0,,,,1,
SA_KY_001Mammoth Cave,1,,,,1,,,,,,,,,
SA_KY_001NPS CUGA,1,,,,1,,,,,,,,,
SA_KY_001NPS BISO,1,,,,1,,,,,,,,,
SA_KY_001FS Wilderness,1,,1,,1,,,,,,,,,
SA_KY_001FS General,1,,1,0,1,,,,1,,,,,
SA_KY_001FS LBL,1,,,,2,,,,,,,,,
SA_LA_001BBR1,1,,,,2,,1,,,,,,1,
SA_LA_003NO-Plow_NO_Penetrat,1,,1,0,1,,,,0,,,,,
SA_LA_003Kisatchie General,1,,0,1,1,,,,,,,,,
SA_LA_003No Entry,1,,1,0,1,,,,0,,,,,
SA_LA_003FWSGEN,1,,,1,1,,,,,,,,,
SA_LA_003Kisatchie Wilderness,1,,1,0,1,,,,0,,,,,
SA_MD_001Dismal Logic,1,0,1,0,1,,,,0,,,,0,
SA_MD_001FPU Initialization,1,0,1,1,2,,,,0,,,,1,1
SA_MS_001USFS Wilderness,1,,,0,1,,,,,,,,0,
SA_MS_001USFS,1,,,1,0,,,,,,,,0,
SA_MS_001FWS,1,,,1,0,,,,,,,,0,
SA_MS_002Homochitto FWA,1,,,1,2,,,,,,,,0,
SA_MS_002Bienville WA,1,,,1,2,,,,,,,,0,
SA_MS_002Natchez FWA,1,,,1,1,,,,,,,,,
SA_MS_002Tombigbee FWA,1,,,1,1,,,,,,,,1,
SA_MS_002Noxubee,1,,,1,1,,,,,,,,,
SA_MS_002Natchez Threat FWA,1,,,1,1,,,,,,,,,
SA_MS_002Holly Springs FWA,1,,,1,2,,,,,,,,,
SA_MS_002Natchez Trace FWA,1,,,,1,,,,,,,,,
SA_NC_001Pee Dee,1,,,,1,,,,0,,,,1,
SA_NC_001Carolina Sandhills,1,,,,2,,,,0,,,,1,
SA_NC_001Birkhead Wilderness,1,,,0,1,,,,0,,,,,
SA_NC_001Uwharrie WUI,1,,,1,2,,,,,,,,,
SA_NC_002FWS with helicopter,1,,,,1,,,,,,,,1,
SA_NC_002Croatan,1,,,,1,,,,,,,,1,
SA_NC_002Currituck aviation,1,,,,1,1,,,,,,,1,
SA_NC_002Ocracoke,1,,,,2,,,,,,,,0,
SA_NC_002Cape Hatteras,1,,,,2,,,,,,,,1,
SA_NC_002Cape Lookout,1,,,,1,,1,,,,,,,
SA_OK_001OUF WILDERNESS,1,,0,0,3,,,,,,,,,0
SA_OK_001fws dispatch,1,0,0,0,2,,,,1,,,,,1
SA_OK_001Overall,1,,0,1,2,,,,,,,,,1
SA_OK_002overall,1,,,0,2,,,,,,,,,1
SA_OK_002fws interest,1,0,,1,2,,,,,,,,,1
SA_OK_003Overall,1,,,1,2,,,,,,,,,1
SA_OK_005Fish and Wildlife,1,,,,3,,,,,,,,,2
SA_PR_001Test,1,,,1,1,,,,0,,,,,
SA_SC_001FS Wild,1,,0,,1,,,,,,,,,
SA_SC_001FWS_Mainland,1,,0,1,2,,,,,,,,1,
SA_SC_001FWS IS,1,,0,1,2,,,,1,,,,1,
SA_SC_001FWS Wild,1,,0,,2,,,,1,,,,,
SA_SC_001SRF,1,,,1,1,,,,0,,,,,
SA_SC_001FS_FWA,1,,0,1,1,,,,,,,,1,
SA_SC_001NPS,1,,,,1,,,,,,,,,
SA_TN_001Cherokee Wild North,1,,0,,1,,,,,,,,,
SA_TN_001Appalachian MO,1,,1,,1,,,,,,,,,
SA_TN_001Chattahoochee NF,1,,1,1,1,,,,,,,,,
SA_TN_001Grandfather MO,1,,0,,1,,,,,,,,,
SA_TN_001Cherokee Disp. Logic,1,,1,,2,,,,,,,,,
SA_TN_001NPS BRP,1,,1,,1,,,,,,,,,
SA_TN_001NPS GSP,1,,,,1,,,,,,,,,
SA_TN_001FS Wilderness,1,,1,,1,,,,1,,,,,
SA_TN_001Nat Pisg MO,1,,0,0,1,,,,0,,,,,
SA_TN_001Cherokee MO,1,,,0,1,,,,0,,,,,
SA_TN_001Cherokee North MO,1,,0,0,1,,,,0,,,,,
SA_TX_001LBJ,1,0,0,0,2,,,0,0,,,,,2
SA_TX_002Balcones,1,0,0,0,2,0,0,0,0,0,0,0,0,1
SA_TX_003FS_WILD,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SA_TX_003DCNF,1,0,0,1,1,0,0,0,0,0,0,0,0,0
SA_TX_003BITH 2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SA_TX_003TXACA-ENG Only,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SA_TX_003BITH,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SA_TX_004San 3,1,,,,2,,,,,,,,,
SA_TX_004SanTHT,1,,,,2,,,,,,,,,
SA_TX_004BrazoTHT,1,,,,2,,,,,,,,,
SA_TX_004BBGTHT,1,,,,2,,,,,,,,,
SA_TX_004SWLA,1,,,,1,,1,,,,,,,
SA_TX_004Brazoria 04,1,,,,2,,,,,,,,,1
SA_TX_004Brazoria05,1,,,,2,,,,,,,,,
SA_TX_004BBG 001,1,,,,2,,,,,,,,,
SA_TX_004San 2,1,,,,2,,,,,,,,,
