changes,resource name,resource type,staffing,shift start time,shift end time,start day,end day,season start day,season end day,dipatch location,% avail,daily cost,hourly cost,water volume (gal),severity resource,full time employees (FTE),number of positions,annual costs,vehicle costs,fpu,fixed location,borrowable,agency,If HELI attached Helicopter,Question/Comments
,FBK SMJ 2-ST#01,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,2,2,174000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#02,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,2,2,160000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#03,SMJR,2,800,1800,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#04,SMJR,2,800,2215,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#05,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#06,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#07,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#08,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#09,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#10,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#11,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#12,SMJR,2,800,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#13,SMJR,2,900,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#14,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#15,SMJR,2,900,2200,1,7,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#16,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#17,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#18,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#19,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#20,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#21,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#22,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#23,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#24,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#25,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#26,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#27,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#28,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#29,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#30,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#31,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#32,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SMJ 2-ST#33,SMJR,2,900,1800,2,6,91,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,0,0,AK_AK_001,0,1,BLM,,
,Hnah E T6-3 #1,EN56,4,900,1800,1,7,105,258,USFS at Hoonah,100,0,0,200,n,2.75,5,150000,0,AK_AK_001,0,1,FS,,
,Juneau E T3-3#1,EN34,4,900,1800,1,7,91,288,USFS Juneau,100,0,0,500,n,2.75,5,149400,0,AK_AK_001,0,1,FS,,
,KLWC E T6-3 #1,EN56,3,900,1800,1,7,105,258,USFS Kenai Lake Work Center at,100,0,0,300,n,2.5,5,221500,0,AK_AK_001,0,1,FS,,
,KLWC HELI x3 #1,HELI,3,900,1800,1,7,135,258,USFS Kenai Lake Work Center at,100,0,0,0,n,2.5,5,150000,0,AK_AK_001,0,1,FS,N48087,"No HEL matches this HELI dispatch location, therefore attached closest Federal HEL"
,ThornB E T6-3#1,EN56,5,900,1800,1,7,105,258,USFS Thorne Bay,100,0,0,250,n,2.75,5,150000,0,AK_AK_001,0,1,FS,,
,Wr gle E T6-3#1,EN56,3,900,1800,1,7,105,258,USFS Wrangle Ranger District,100,0,0,300,n,2.75,5,147000,0,AK_AK_001,0,1,FS,,
,FWSSol E T6-3#1,EN56,3,900,1700,3,7,105,258,Kenai Nat Wildlife Refuge @ So,100,0,0,250,n,3,1,46000,0,AK_AK_001,0,1,FWS,,
,KNR E T4 3#848X,EN34,3,800,1700,1,7,91,273,Kenai Nat Wildlife Refuge @ So,100,0,0,1000,n,0,3,0,0,AK_AK_001,0,1,FWS,,
,KNR E T6 3#178x,EN56,3,800,1700,4,1,91,257,Kenai Nat Wildlife Refuge @ So,70,0,0,300,n,0.7,1,52926,0,AK_AK_001,0,1,FWS,,
,KNR E T6 3#204,EN56,3,900,1700,2,6,140,247,Kenai Nat Wildlife Refuge @ So,70,0,0,250,n,0.3,1,23523,0,AK_AK_001,0,1,FWS,,
,TER  E T6-3 #1,EN56,3,900,1800,1,5,121,273,F&WS Tetlin Refuge @ Tok: WFU,70,0,0,400,n,0.55,1,44108,0,AK_AK_001,0,1,FWS,,
,DEP H T3-3 #1,HEL3,1,800,1630,2,6,146,235,Denali National Park at Park H,12,0,0,0,n,0,0,208740,0,AK_AK_001,0,1,NPS,n/a,90 day contract
,DEP HELI x3 #1,HELI,3,800,1630,2,6,135,258,Denali National Park at Park H,100,0,0,0,n,1.38,3,114158,0,AK_AK_001,0,1,NPS,DEP H T3-3 #1,Helitack crew (124 days) have differing season dates than helicopter (90 days)
,AMMX E T3-3 #1,EN34,3,900,1800,1,7,74,319,VFD @ Anchorage (Muni),100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,AMMX E T3-3 #2,EN34,3,900,1800,1,7,74,319,VFD @ Anchorage (Muni),100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,AMMX E T6-3 #1,EN56,3,900,1800,1,7,74,288,VFD @ Anchorage (Muni),100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,CRS E T3-3 #1,EN34,2,900,1800,1,7,91,273,Valdez-Copper River State at G,100,0,0,500,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,CRS E T6-2 #1,EN56,2,900,1800,1,7,105,258,Valdez-Copper River State at G,100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,CRS HELI x3 #1,HELI,3,900,2200,1,7,105,258,Valdez-Copper River State at G,100,0,0,0,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,DAS H T2 #1,"No HEL matches this HELI dispatch location, therefore attached closest State HEL"
,DAS E T3-3 #1,EN34,2,900,1800,1,7,74,319,"Delta Area Forestry: engines,",100,0,0,500,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,DAS E T3-5 #3,EN34,2,900,1800,2,6,105,258,"Delta Area Forestry: engines,",100,0,0,500,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,DAS E T6-2 #1,EN56,2,900,2000,1,7,105,258,"Delta Area Forestry: engines,",100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,DAS H T2 #1,HEL2,1,800,1700,1,7,128,217,"Delta Area Forestry: engines,",100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,n/a,90 day contract
,DAS HELIx2 #1,HELI,2,800,1700,1,7,105,227,"Delta Area Forestry: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,DAS H T2 #1,Helitack crew (123 days) have differing season dates than helicopter (90 days)
,DAS HELIx2 #2,HELI,2,800,1700,1,7,105,227,"Delta Area Forestry: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,DAS H T2 #1,Helitack crew (123 days) have differing season dates than helicopter (90 days)
,DAS WT #1,WT,1,900,2000,1,7,91,273,"Delta Area Forestry: engines,",100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,,Positions are not ? staffing
,DBFX E T6-3 #1,EN56,3,900,1800,1,7,74,288,VFD @ Clear,25,0,0,300,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,DBFX E T6-3 #2,EN56,3,900,1800,1,7,74,288,VFD TriValley @ Healy,100,0,0,300,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,DBFX WT #1,WT,1,900,1800,1,7,74,288,VFD @ Clear,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,,Positions are not ? staffing
,FAS E T3-3 #1,EN34,2,800,1800,1,7,74,319,"State Fairbanks Area: engines,",100,0,0,500,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,"NWCG minimum staffing for T3 ENG = 3 personnel,  T4 ENG = 2 personnel.  "
,FAS E T3-3 #4,EN34,3,800,1800,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,FAS E T6-2 #1,EN56,2,900,1800,1,7,74,288,"State Fairbanks Area: engines,",100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,FAS E T6-2 #2,EN56,2,900,1800,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,FAS E T6-2 #3,EN56,2,900,1800,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,FAS H T2 #1,HEL2,1,900,2200,1,7,114,217,"State Fairbanks Area: engines,",100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,n/a,104 day contract
,FAS HELI x2 #1,HELI,2,900,2200,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (104 days)
,FAS HELI x2 #2,HELI,2,900,2200,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (104 days)
,FAS HELI x2 #3,HELI,2,900,2200,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (104 days)
,FAS HELI x2 #4,HELI,2,900,2200,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (104 days)
,FAS HELI x2 #5,HELI,2,900,2200,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew(154 days) have differing season dates than helicopter (104 days)
,FAS HELI x2 #6,HELI,2,900,2200,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (104 days)
,FAS HELI x2 #7,HELI,2,900,2000,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (104 days)
,FAS HELI x2 #8,HELI,2,900,2000,1,7,105,258,"State Fairbanks Area: engines,",100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,FAS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (104 days)
,FNFX E T3-3 #1,EN34,3,900,1800,1,7,74,319,VFD @ Northstar,100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,FNFX WT #1,WT,1,900,1800,1,7,74,288,VFD @ Northstar,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,,Positions are not ? staffing
,FRKX E T3-3 #1,EN34,3,900,1800,1,7,74,319,VFD @ Soldotna (Funny River),100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,HNS E T6-2 #1,EN56,2,900,1800,1,7,105,258,South East Area Forestry at Ha,100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,HOKX E T3-3 #1,EN34,3,900,1800,1,7,74,319,VFD @ Homer,100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,HOKX E T6-3 #1,EN56,3,900,1800,1,7,74,288,VFD @ Homer,100,0,0,300,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,HOKX WT #1,WT,1,900,1800,1,7,74,288,VFD @ Homer,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,,Positions are not ? staffing
,HSMX E T3-3 #1,EN34,3,900,1800,1,7,74,319,VFD @ Houston,100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,HSMX E T6-3 #1,EN56,3,900,1800,1,7,74,288,VFD @ Houston,100,0,0,300,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,KIKX E T6-3 #1,EN56,3,900,1800,1,7,74,288,VFD @ Kodiak,100,0,0,300,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,KIKX WT #1,WT,1,900,1800,1,7,74,288,VFD @ Kodiak,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,,Positions are not ? staffing
,KKS HELI x3 #1,HELI,3,900,2200,1,7,105,258,Soldotna State (KKS@Soldotna,100,0,0,0,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,KKS@S H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (140 /90 days)
,KKS HELI x3 #2,HELI,3,900,2200,1,7,105,258,Soldotna State (KKS@Soldotna,100,0,0,0,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,KKS@S H T3 #1,Helitack crew (154 days) have differing season dates than helicopter (140 /90 days)
,KKS HELI x3 #3,HELI,3,900,2200,1,7,105,258,Soldotna State (KKS@Soldotna,100,0,0,0,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,KKS@S H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (140 /90 days)
,KKS HELI x3 #4,HELI,3,900,2200,1,7,105,258,Soldotna State (KKS@Soldotna,100,0,0,0,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,KKS@S H T3 #1,Helitack crew (154 days) have differing season dates than helicopter (140 /90 days)
,KKS HELI x3 #5,HELI,3,900,2200,1,7,105,258,Soldotna State (KKS@Soldotna,100,0,0,0,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,KKS@S H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (140 /90 days)
,KKS@H E T3-3 #1,EN34,3,900,1800,1,7,105,258,Homer State (KKS@Homer),100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,KKS@S E T6-3 #1,EN56,2,900,1800,1,7,91,273,Soldotna State (KKS@Soldotna,100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,KKS@S E T6-3 #2,EN56,2,900,1800,1,7,105,258,Soldotna State (KKS@Soldotna,100,0,0,300,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,KKS@S H T2 #1,HEL2,1,800,1700,1,7,105,244,Soldotna State (KKS@Soldotna,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,n/a,140 day contract
,KKS@S H T3 #1,HEL3,1,900,1800,1,7,114,203,Soldotna State (KKS@Soldotna,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,n/a,90 day contract
,MSS HELI x2 #1,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #10,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #2,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #2,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #2,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #3,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #4,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #2,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #5,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #6,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #2,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #7,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #8,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #2,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS HELI x2 #9,HELI,2,900,2200,1,7,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,MSS@P H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (83 /104 days)
,MSS WT #1,WT,1,900,1800,1,7,91,273,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,,Positions are not ? staffing
,MSS@P E T3-3 #2,EN34,2,900,1800,2,6,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,500,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,"NWCG minimum staffing for T3 ENG = 3 personnel,  T4 ENG = 2 personnel.  "
,MSS@P E T3-5 #1,EN34,2,900,1800,1,7,74,288,State of Alaska MatSu (MSS@Pal,100,0,0,500,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,"NWCG minimum staffing for T3 ENG = 3 personnel,  T4 ENG = 2 personnel.  "
,MSS@P E T6-3 #2,EN56,2,900,1800,2,6,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,MSS@P E T6-3 #3,EN56,2,900,1800,2,6,105,258,State of Alaska MatSu (MSS@Pal,100,0,0,300,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,MSS@P H T2 #1,HEL2,1,900,2200,1,7,114,196,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,n/a,83 day contract
,MSS@P H T2 #2,HEL2,1,900,2200,1,7,121,224,State of Alaska MatSu (MSS@Pal,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,n/a,104 day contract
,NFKX E T3-3 #1,EN34,3,900,1800,1,7,74,319,VFD @ Nikiski,100,0,0,500,n,0,3,0,0,AK_AK_001,0,1,STATE/LOCAL,,
,SWS H T2 #1,HEL2,1,900,2200,1,7,128,217,State SWA Helibase and Recon b,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,STATE/LOCAL,n/a,90 day contract
,SWS HELI x2 #1,HELI,2,900,2200,1,7,105,258,State SWA Helibase and Recon b,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,SWS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (90 days)
,SWS HELI x2 #2,HELI,2,900,2200,1,7,105,258,State SWA Helibase and Recon b,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,SWS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (90 days)
,SWS HELI x2 #3,HELI,2,900,2200,1,7,105,258,State SWA Helibase and Recon b,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,SWS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (90 days)
,SWS HELI x2 #4,HELI,2,900,2200,1,7,105,258,State SWA Helibase and Recon b,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,SWS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (90 days)
,SWS HELI x2 #5,HELI,2,900,2200,1,7,105,258,State SWA Helibase and Recon b,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,SWS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (90 days)
,SWS HELI x2 #6,HELI,2,900,2200,1,7,105,258,State SWA Helibase and Recon b,100,0,0,0,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,SWS H T2 #1,Helitack crew (154 days) have differing season dates than helicopter (90 days)
,TAS E T3-3 #1,EN34,2,900,1800,1,7,74,319,Tok Area State Forestry,100,0,0,500,n,0,2,0,0,AK_AK_001,0,1,STATE/LOCAL,,"NWCG minimum staffing for T3 ENG = 3 personnel,  T4 ENG = 2 personnel.  "
