name,tracked_resource,boat,crew,engine,helitack,smoke_jumper
EA_WV_001WV_NRG                        BLUESTONE,,,5,5,,
EA_WV_001Unassigned                    Unassigned,,,,,,
NW_WA_004LPO                           LPO,30,,30,30,15,30
NW_WA_004SelkirkSouth                  SelkirkSouth,30,,30,30,15,30
NW_WA_004Newport                       Newport,30,,30,30,20,30
NW_WA_004Caribou                       Caribou,30,,30,30,20,30
NW_WA_004Salmo-Priest                  Salmo-Priest,,,30,30,15,30
NW_WA_004Ione                          Ione,30,,30,30,20,30
NW_WA_004Abercrombie/Sullivan          Abercrombie/Sullivan,,,60,60,20,30
NW_WA_004SelkirkNorth                  SelkirkNorth,30,,30,30,15,30
NW_WA_004ColumbiaNorth                 ColumbiaNorth,30,,30,30,15,30
NW_WA_004KettleRange                   KettleRange,30,,30,30,20,30
NW_WA_004KettleCrest/13Mile            KettleCrest/13Mile,,,60,60,15,30
NW_WA_004Republic                      Republic,30,,30,30,15,30
NW_WA_004Curlew                        Curlew,30,,30,30,15,30
NW_WA_004Other                         Other,30,,30,30,15,30
NW_WA_004Westend                       Westend,30,,30,30,10,30
NW_WA_004CentralFlats                  CentralFlats,30,,30,30,15,30
NW_WA_004Turnbull                      Turnbull,30,,30,30,10,30
NW_WA_004Huckleberry                   Huckleberry,30,,30,30,15,30
NW_WA_004Chewelah                      Chewelah,30,,30,30,15,30
CA_CA_002PNF_South_Middle_Fork         PNF_South_Middle_For,30,0,90,90,60,45
CA_CA_002PNF_Portola                   PNF_Portola_2,15,0,30,30,15,20
CA_CA_002PNF_North_Middle_Fork         PNF_North_Middle_For,30,0,90,90,60,45
CA_CA_002LNP_Boundary                  LNP_Boundary_4_SW,20,0,30,30,15,15
CA_CA_002LNP_Boundary                  LNP_Boundary_3_SE,20,0,30,30,15,15
CA_CA_002LNP_Boundary                  LNP_Boundary_2_NE,20,0,30,30,15,15
CA_CA_002LNP_Boundary                  LNP_Boundary_1_NW,20,0,30,30,15,15
CA_CA_002LNF_IshiWildAndProposed       LNF_IshiWildAndPropo,30,0,60,60,20,30
CA_CA_002LNF_HighWild                  LNF_HighWild_1_ThouL,30,0,60,60,20,30
CA_CA_002LNF_Eastside                  LNF_Eastside_1_HatCr,15,0,15,15,15,30
CA_CA_002LNF_Eastside_OFE              LNF_Eastside_OFE_2_E,15,0,15,15,15,30
CA_CA_002LNF_Eastside_OFE              LNF_Eastside_OFE_1_W,15,0,15,15,15,30
CA_CA_002LNF_AdminLandOutsideDPA       LNF_AdminLandOutsid3,15,0,10,10,10,15
CA_CA_002LNF_AdminLandOutsideDPA       LNF_AdminLandOutsid2,15,0,10,10,10,15
CA_CA_002LNF_AdminLandOutsideDPA       LNF_AdminLandOutsid1,15,0,10,10,10,15
CA_CA_002LNF_Access Limited            LNF_Access Limited_2,30,0,60,60,30,60
CA_CA_002LNF_Access Limited            LNF_Access Limited_1,30,0,60,60,30,60
CA_CA_002PNF_Diamond_Mt                PNF_Diamond_Mt_1,15,0,60,60,30,30
CA_CA_002BLM_WSA                       BLM_WSA_1,30,0,30,30,10,10
CA_CA_002BLM_Suprise_WSA               BLM_Suprise_WSA_1,30,0,30,30,10,10
CA_CA_002BLM_Scattered_Lands           BLM_Scattered_Lands_,15,0,10,10,10,10
CA_CA_002BLM_River_Complex             BLM_River_Complex_4,30,0,10,10,10,10
CA_CA_002BLM_Ravendale                 BLM_Ravendale_1,15,0,10,10,10,10
CA_CA_002BLM_Modoc_WUI                 BLM_Modoc_WUI_1,15,0,10,10,10,10
CA_CA_002BLM_Massacre                  BLM_Massacre_1,30,0,30,30,10,10
CA_CA_002BLM_High Rock                 BLM_High Rock_1,30,0,30,30,10,10
CA_CA_002BLM_Hays                      BLM_Hays_1,45,0,15,15,10,10
CA_CA_002BLM_East_Warner               BLM_East_Warner_1,15,0,30,30,10,10
CA_CA_002BLM_Cal_Neva                  BLM_Cal_Neva_1,45,0,30,30,10,10
CA_CA_002BLM_Ash_Valley                BLM_Ash_Valley_2_Tul,30,0,15,15,10,10
CA_CA_002BLM_Ash_Valley                BLM_Ash_Valley_1,15,0,15,15,10,10
CA_CA_002PNF_West_FS_Land_State_DPA    PNF_West_FS_Land_Sta,15,0,30,30,15,20
CA_CA_002PNF_Seneca                    PNF_Seneca_1,25,0,60,60,45,30
CA_CA_002PNF_S_Westside                PNF_S_Westside_1,15,0,45,45,30,30
CA_CA_002PNF_Portola                   PNF_Portola_1,15,0,30,30,15,20
CA_CA_002PNF_Pineleaf                  PNF_Pineleaf_1,15,0,30,30,15,20
CA_CA_002PNF_N_Westside                PNF_N_Westside_1,15,0,45,45,30,30
CA_CA_002LNP_Headquarters              LNP_Headquarters_1,5,0,5,5,5,0
CA_CA_002LNP_Fire_Use                  LNP_Fire_Use_1,0,0,60,60,20,20
CA_CA_002PNF_High_Elevation            PNF_High_Elevation_2,15,0,45,45,45,20
CA_CA_002PNF_High_Elevation            PNF_High_Elevation_1,15,0,45,45,45,20
CA_CA_002PNF_Chandler                  PNF_Chandler_1,25,0,45,45,45,40
CA_CA_002PNF_Grizzly_Ridge             PNF_Grizzly_Ridge_1,15,0,45,45,30,20
CA_CA_002PNF_Feather_River_Cyn         PNF_Feather_River_C2,30,0,90,90,120,45
CA_CA_002PNF_Escarpment                PNF_Escarpment_1,15,0,60,60,30,20
CA_CA_002BIA_CDF/Local                 BIA_CDF/Local_1,30,0,15,15,15,15
CA_CA_002PNF_East_FS_Land_State_DPA    PNF_East_FS_Land_Sta,15,0,30,30,15,20
CA_CA_002LNF_HighWild                  LNF_HighWild_2_Carib,30,0,60,60,20,30
CA_CA_002Other                         Other_1,0,0,0,0,0,0
CA_CA_002LNF_Eastside                  LNF_Eastside_2_Eagle,15,0,15,15,15,30
CA_CA_002PNF_Greenville                PNF_Greenville_1,15,0,45,45,30,20
CA_CA_002PNF_Feather_River_Cyn         PNF_Feather_River_Cy,30,0,90,90,120,45
CA_CA_002PNF_Eastside                  PNF_Eastside_1,15,0,45,45,30,20
CA_CA_002BIA_USFS                      BIA_USFS_1,15,0,15,15,10,10
CA_CA_002LNF_WUI-Almanor               LNF_WUI-Almanor_2_So,15,0,15,15,15,30
CA_CA_002LNF_WUI-Almanor               LNF_WUI-Almanor_1_No,15,0,15,15,15,30
CA_CA_002LNF_Westside_OFE_South        LNF_Westside_OFE_Sou,15,0,15,15,15,30
CA_CA_002LNF_Westside_OFE_North        LNF_Westside_OFE_No2,15,0,15,15,15,30
CA_CA_002LNF_Westside_OFE_North        LNF_Westside_OFE_No1,15,0,15,15,15,30
CA_CA_002BLM_River_Complex             BLM_River_Complex_3_,30,0,10,10,10,10
CA_CA_002BLM_River_Complex             BLM_River_Complex_2_,30,0,10,10,10,10
CA_CA_002BLM_River_Complex             BLM_River_Complex_1_,30,0,10,10,10,10
CA_CA_002BLM_Mud_Flat                  BLM_Mud_Flat_1,45,0,15,15,10,10
CA_CA_002BLM_Madeline_Uplands          BLM_Madeline_Uplands,45,0,30,30,10,10
CA_CA_002BLM_Madeline_Plains           BLM_Madeline_Plains_,15,0,10,10,10,10
CA_CA_002BLM_Fort_Bidwell              BLM_Fort_Bidwell_1,30,0,30,30,30,30
CA_CA_002BLM_Dry_Valley                BLM_Dry_Valley_1,45,0,30,30,10,10
CA_CA_002PNF_Deans_Valley_Claremont    PNF_Deans_Valley_Cla,15,0,60,60,30,30
CA_CA_002PNF_Wilderness                PNF_Wilderness_1,30,0,180,180,45,60
CA_CA_007SNL FWS Threat                SNL FWS Threat,40,,30,30,15,
CA_CA_007SNL FWS Suppression           SNL FWS Suppression,40,,30,30,15,
CA_CA_007BLM Mariposa (FMU12)          BLM Mariposa,40,,30,30,15,
CA_CA_007BLM Tuolumne (FMU11)          BLM Tuolumne,40,,30,30,15,
CA_CA_007BLM Red Hills ACEC (FMU10)    BLM Red Hills ACEC,40,,30,30,15,
CA_CA_007BLM Stanislaus (FMU9)         BLM Stanislaus,40,,30,30,15,
CA_CA_007Unassigned                    Unassigned,,,30,30,15,
CA_CA_007YNP Fire Use Unit             YNP Fire Use Unit,,,45,45,15,
CA_CA_007YNP Suppression Unit          YNP Suppression Unit,40,,30,30,15,
CA_CA_007STF Wilderness (FMU4)         STF Wilderness,,,45,45,15,
CA_CA_007STF High Elevation (FMU3)     STF High Elevation,,,30,30,15,
CA_CA_007STF Low Elevation (FMU2)      STF Low Elevation,40,,30,30,15,
CA_CA_007STF Protection (FMU1)         STF Protection,40,,30,30,15,
CA_CA_007SNF Threat                    SNF Threat,40,,30,30,15,
CA_CA_007SNF High Country (FMU3)       SNF High Country,,,45,45,15,
CA_CA_007SNF Mid Country (FMU2)        SNF Mid Country S,40,,30,30,15,
CA_CA_007SNF Mid Country (FMU2)        SNF Mid Country N,40,,30,30,15,
CA_CA_007SNF Low Country (FMU1)        SNF Low Country S,40,,30,30,15,
CA_CA_007SNF Low Country (FMU1)        SNF Low Country N,40,,30,30,15,
CA_CA_015FS_CNF_Suppression_Threat     Non-Laguna_&_Paloma,50,,30,30,10,
CA_CA_015BLM_CA_CDD_Threat             CDD_Threat,50,,30,30,10,
CA_CA_015FWS_CA_TNR_Threat             Coastal_Threat,50,,30,30,10,
CA_CA_015FWS_CA_TNR_Threat             Inland_Threat,50,,30,30,10,
CA_CA_015BIA_CA_SCA_Threat             SCA_Threat,50,,30,30,10,
CA_CA_015FS_CNF_Wilderness_Threat      Wilderness_Threat,50,,30,30,10,
CA_CA_015FS_CNF_Suppression_Threat     Laguna_&_Palomar_Mt,50,,30,30,10,
CA_CA_015Other                         Non_Federal_Non_Thr,50,,30,30,10,
CA_CA_015NPS_CA_Cabrillo               Cabrillo,50,,30,30,10,
CA_CA_015FWS_CA_TNR                    Inland,50,,30,30,10,
CA_CA_015FWS_CA_TNR                    Coastal,,,30,30,10,
CA_CA_015BIA_CA_SCA                    SCA,50,,30,30,10,
CA_CA_015FS_CNF_Wilderness             Wilderness,,,40,40,10,
CA_CA_015FS_CNF_Suppression            Non-Laguna_&_Palo(2),50,,30,30,10,
CA_CA_015FS_CNF_Suppression            Laguna_&_Palomar_(2),50,,30,30,5,
CA_CA_015BLM_CA_CDD                    CDD,50,,30,30,10,
CA_CA_015Unassigned                    Unassigned,50,,30,30,10,
CA_CA_011OTHER                         OTHER_1,,,,,,
CA_CA_011East Slope San Bernadino Mtns East Slope San Bern,45,0,45,45,5,0
CA_CA_011West Mesa/Yuha Basin          West Mesa/Yuha Basin,30,0,30,30,5,0
CA_CA_011OTHER                         West Central Mojave,5,,10,10,5,
CA_CA_011Victor Valley WUI             Victor Valley WUI,20,0,20,20,5,0
CA_CA_011Trona                         Trona,45,0,45,45,10,0
CA_CA_011Tortoise DWMA                 Tortoise DWMA,45,0,45,45,5,0
CA_CA_011Stepladder                    Stepladder,45,0,45,45,5,0
CA_CA_011Southern Wilderness           Southern Wilderness,35,0,35,35,5,0
CA_CA_011South Sierra                  South Sierra,45,0,45,45,10,0
CA_CA_011Sheephole                     Sheephole,45,0,45,45,5,0
CA_CA_011Salton Sea                    Salton Sea,30,0,30,30,5,0
CA_CA_011Saline Marsh                  Saline Marsh,90,0,90,90,10,0
CA_CA_011Ridgecrest                    Ridgecrest,30,0,30,30,5,0
CA_CA_011Randsberg                     Randsberg,30,0,30,30,5,0
CA_CA_011Providence                    Providence,90,0,90,90,10,0
CA_CA_011Panamint NPS                  Panamint NPS,90,0,90,90,10,0
CA_CA_011Panamint BLM                  Panamint BLM,45,0,45,45,10,0
CA_CA_011Owens Panamint                Owens Panamint,45,0,45,45,10,0
CA_CA_011West Central Mojave Desert Wi West Central Moj T,20,0,20,20,5,0
CA_CA_011OTHER                         Tortoise DWMA Threa,5,,10,10,5,
CA_CA_011OTHER                         Ridgecrest Threat F,5,,10,10,5,
CA_CA_011OTHER                         OTHER_5,,,,,,
CA_CA_011OTHER                         OTHER_4,,,,,,
CA_CA_011OTHER                         OTHER_3,,,,,,
CA_CA_011OTHER                         OTHER_6,5,,10,10,5,
CA_CA_011OTHER                         Coachella Valley Th,5,,10,10,5,
CA_CA_011OTHER                         Coachella Valley R2,5,,10,10,5,
CA_CA_011OTHER                         Chuckwalla Valley T,5,,10,10,5,
CA_CA_011OTHER                         Big Morongo Threat,5,,10,10,5,
CA_CA_011OTHER                         Antelope Valley Thr,5,,10,10,5,
CA_CA_011Olancha/Coso Junction         Olancha/Coso Juncti,45,0,45,45,10,0
CA_CA_011Northeast Mojave Desert       Northeast Mojave De,30,0,30,30,5,0
CA_CA_011Mojave River/Afton Canyon     Mojave River/Afton,25,0,25,25,5,0
CA_CA_011Middle Knob                   Middle Knob,45,0,45,45,10,0
CA_CA_011Grapevine Mountains           Grapevine Mountains,90,0,90,90,10,0
CA_CA_011Mesquite                      Mesquite,45,0,45,45,5,0
CA_CA_011Lanfair                       Lanfair,30,0,30,30,5,0
CA_CA_011Landers/Yucca WUI             Landers/Yucca WUI,20,0,20,20,5,0
CA_CA_011Kelso Creek/Kelso Valley      Kelso Creek/Kelso V,40,0,40,40,10,0
CA_CA_011Kelso-Bristol                 Kelso/Bristol,30,0,30,30,5,0
CA_CA_011Kelso                         Kelso,45,0,45,45,5,0
CA_CA_011Inyo Mountains                Inyo Mountains,90,0,90,90,10,0
CA_CA_011Hunter Mountain               Hunter Mountain,90,0,90,90,10,0
CA_CA_011Freeman Canyon                Freeman Canyon,35,0,35,35,10,0
CA_CA_011Fish Lake Valley              Fish Lake Valley,90,0,90,90,10,0
CA_CA_011Eureka Valley                 Eureka Valley,90,0,90,90,10,0
CA_CA_011East Mesa/Chocolate Mtns      East Mesa/Chocolate,45,0,45,45,10,0
CA_CA_011East Kern-San Bernardino      East Kern-San Berna,30,0,30,30,5,0
CA_CA_011Coachella Valley Refuge       Coachella Valley R1,45,0,45,45,5,0
CA_CA_011Coachella Valley              Coachella Valley,15,0,15,15,5,0
CA_CA_011Clark                         Clark,60,0,60,60,5,0
CA_CA_011Cima                          Cima,30,0,30,30,5,0
CA_CA_011Chemehuevi                    Chemehuevi,45,0,45,45,10,0
CA_CA_011Castle                        Castle,45,0,45,45,10,0
CA_CA_011Black Mountains               Black Mountains,90,0,90,90,10,0
CA_CA_011Big Morongo                   Big Morongo,60,0,60,60,10,0
CA_CA_011Argus Range                   Argus Range,0,0,45,45,35,0
CA_CA_011Antelope Valley               Antelope Valley,30,0,30,30,10,0
CA_CA_011Amboy                         Amboy,45,0,45,45,10,0
CA_CA_011Amargosa River/Canyon         Amargosa River/Cany,60,0,60,60,15,0
CA_CA_011OTHER                         NSlope San Ber Mtn T,30,0,30,30,5,0
CA_CA_011Joshua Tree                   Joshua Tree,30,0,30,30,5,0
CA_CA_011Chuckwalla Valley             Chuckwalla Valley,60,0,60,60,10,0
CA_CA_011OTHER                         OTHER_2,,,,,,
CA_CA_011OTHER                         Victor Valley WUI T,5,,10,10,5,
NW_OR_001East Salem                    14,240,,75,75,30,30
NW_OR_001Unassigned                    12,,,,,,
NW_OR_001West Eugene                   15,240,,75,75,30,30
NW_OR_001West Salem                    13,240,,75,75,30,30
NW_OR_001Middle Fork                   11,240,,75,75,30,30
NW_OR_001Middle Fork Wilderness        10,,,180,180,30,30
NW_OR_001McKenzie River Wilderness     9,,,180,180,30,30
NW_OR_001North Santiam                 8,240,,75,75,30,30
NW_OR_001North Santiam Wilderness      7,,,180,180,30,30
NW_OR_001South Santiam Wilderness      6,,,180,180,30,30
NW_OR_001South Santiam                 5,240,,75,75,30,30
NW_OR_001McKenzie River                4,240,,75,75,30,30
NW_OR_001South Coast                   3,240,,75,75,30,30
NW_OR_001Hebo                          2,240,,75,75,30,30
NW_OR_001East Eugene                   1,240,,75,75,30,30
NW_OR_004crng                          crng,45,,45,45,10,
NW_OR_004cline wui                     cline wui,48,,10,10,10,
NW_OR_004central warm springs          central warm springs,80,,45,45,35,
NW_OR_004cascade south                 cascade south,48,,45,45,25,15
NW_OR_004cascade north                 cascade north,48,,10,10,25,
NW_OR_004broken top                    broken top,,,60,60,20,15
NW_OR_004bridge creek                  bridge creek,,,40,40,10,10
NW_OR_004black canyon                  black canyon,,,25,25,15,15
NW_OR_004bald peter                    bald peter,,,120,120,35,10
NW_OR_004badlands                      badlands,,,30,30,10,
NW_OR_004alfalfa                       alfalfa,50,,15,15,10,
NW_OR_004unassigned                    unassigned,,,,,,
NW_OR_004warm springs wui              warm springs wui,15,,15,15,15,
NW_OR_004warm springs wui              warm springs wui sou,50,,60,60,30,
NW_OR_004warm springs wui              warm springs wui nor,50,,60,60,30,
NW_OR_004wheeler wui                   wheeler wui,35,,60,60,10,
NW_OR_004wasco                         wasco,35,,60,60,10,
NW_OR_004spring basin                  spring basin,,,30,30,10,
NW_OR_004south fork and sand hollow    south fork and sand,,,45,45,10,
NW_OR_004northfork                     northfork,,,15,15,15,
NW_OR_004maury                         maury,45,,45,45,10,
NW_OR_004hampton butte and cougar well hampton butte and co,,,30,30,10,
NW_OR_004glass butte                   brothers north,35,,15,15,10,
NW_OR_004trout creek                   trout creek,50,,30,30,15,
NW_OR_004stevenson                     stevenson,60,,50,50,15,
NW_OR_004sherman                       sherman,40,,30,30,10,
NW_OR_004river breaks                  river breaks,,,45,45,10,
NW_OR_004outter fossil beds            outter fossil beds,,,28,28,10,
NW_OR_004ochoco                        ochoco,45,,25,25,15,
NW_OR_004nnvm                          nnvm,48,,60,60,20,
NW_OR_004newberry                      newberry,48,,45,45,20,
NW_OR_004monument                      monument,65,,45,45,10,
NW_OR_004mill creek                    mill creek,,,60,60,10,10
NW_OR_004milican                       milican,50,,30,30,10,
NW_OR_004metolius bench                metolius bench,,,60,60,30,
NW_OR_004lower deschutes               lower deschutes,,,45,45,15,
NW_OR_004la pine wui                   la pine wui,48,,15,15,10,
NW_OR_004john day                      john day,,,45,45,10,
NW_OR_004jefferson                     jefferson,,,60,60,10,10
NW_OR_004glass butte                   brothers east,35,,15,15,10,
NW_OR_004glass butte                   brothers west,35,,15,15,10,
NW_OR_004glass butte                   glass butte,35,,15,15,10,
NW_OR_004fossil beds                   fossil beds,35,,45,45,10,
NW_OR_004east lower john day           east lower john day,,,45,45,10,
NW_OR_004diamond                       diamond,,,45,45,25,15
NW_OR_005Walla_Walla                   WW_River,30,9999,30,30,10,15
NW_OR_005Pomeroy                       Tucannon,60,9999,45,45,15,30
NW_OR_005Umatilla_Agency               Foothills,20,9999,40,40,9999,9999
NW_OR_005Heppner                       Penland,15,9999,15,15,15,15
NW_OR_005NFJD_Fish                     Unassigned,,,,,,
NW_OR_005NFJD_Wilderness               NFJD_Wild,9999,9999,40,40,10,15
NW_OR_005Spray_Prineville              PRD_Spray,15,9999,15,15,9999,9999
NW_OR_005Monument                      VAD,30,9999,30,30,5,15
NW_OR_005NFJD_RD                       So_NFJDRD,15,9999,30,30,15,15
NW_OR_005NFJD_Fish                     NFJD_River,20,9999,30,40,10,15
NW_OR_005Wenaha_Tucannon_Wilderness    Wenaha_T,9999,9999,45,50,10,15
NW_OR_005Walla_Walla                   Wallax2,30,9999,30,30,10,15
NW_OR_005Mckay                         FWS,10,9999,5,5,9999,9999
NW_OR_005Prineville_Scattered          PRD_Scat,15,9999,15,15,9999,9999
NW_OR_005NFJD_RD                       No_NFJDRD,30,9999,30,30,5,15
NW_OR_005Whitman_Mission               NPS,15,9999,5,5,9999,9999
NW_OR_005NF_Umatilla_Wilderness        NF_Uma,9999,9999,60,60,10,15
NW_OR_005Walla_Walla                   GR_River,60,9999,40,40,10,15
NW_OR_005Umatilla_Agency               Uplands,30,9999,45,50,10,15
NW_OR_005Grande_Ronde                  DNR_SPD,30,9999,30,30,9999,9999
NW_OR_005Pomeroy                       Godman,60,9999,30,30,15,30
NW_OR_005Pomeroy                       Clearwater,60,9999,30,30,10,20
NW_OR_005John_Day_Breaks               Breaks,30,9999,30,30,15,15
NW_OR_005Mill_Creek_Watershed          MillCk,9999,9999,40,40,10,15
NW_OR_005Walla_Walla                   Meacham,30,9999,40,40,10,15
NW_OR_005Heppner                       Mad_Pot,30,9999,30,30,15,15
NW_OR_005Pomeroy                       Wenatchee,30,9999,30,40,10,15
NW_OR_005NFJD_RD                       W_NFJDRD,15,9999,15,15,15,15
NW_OR_005Walla_Walla                   Tollgate,15,9999,30,30,10,15
NW_OR_006A-4 Dooley Mtn                Dooley Mtn,30,30,30,30,15,15
NW_OR_006A-1 Owyhee East               Owyhee East SMA,30,30,30,30,15,15
NW_OR_006B-6 Brownlee                  Brownlee South,30,30,30,30,15,15
NW_OR_006B-5d Power River              Powder River,30,30,30,30,15,15
NW_OR_006B-6 Brownlee                  Brownlwee North,30,30,30,30,15,15
NW_OR_006B-7 Lookout Mtn               Lookout Mtn,30,30,30,30,15,15
NW_OR_006B-5a Table Rock               Table Rock,30,30,30,30,15,15
NW_OR_006B-5c Iron Mtn                 Iron Mtn,30,30,30,30,15,15
NW_OR_006B-5b Burnt River              Burnt River,30,30,30,30,15,15
NW_OR_006B-2 Owyhee West               Owyhee West SMA,30,30,30,30,15,15
NW_OR_006B-5 Farewell Bend             Farewell Bend,30,30,30,30,15,15
NW_OR_006B-4 Castle Rock               Castle Rock SMA,30,30,30,30,15,15
NW_OR_006B-4 Castle Rock               Castle Rock,30,30,30,30,15,15
NW_OR_006B-3 Juntura                   Juntura South,30,30,30,30,15,15
NW_OR_006B-3 Juntura                   Juntura North,30,30,30,30,15,15
NW_OR_006A-4a Ironside                 Ironside,30,30,30,30,15,15
NW_OR_006B-2 Owyhee West               Burns Junction,30,30,30,30,15,15
NW_OR_006B-2 Owyhee West               Crowley,30,30,30,30,15,15
NW_OR_006B-2 Owyhee West               Bulley Creek,30,30,30,30,15,15
NW_OR_006B-1 McDermitt                 McDermitt SMA,30,30,30,30,15,15
NW_OR_006B-1 McDermitt                 McDermitt,30,30,30,30,15,15
NW_OR_006A-3 Pedro Mtn                 Pedro Mtn,30,30,30,30,15,15
NW_OR_006A-2 Baker Scattered           Baker Scattered,30,30,30,30,15,15
NW_OR_006A-1 Owyhee East               Jordan Valley,30,30,30,30,15,15
NW_OR_006A-1 Owyhee East               Vale South,30,30,30,30,15,15
NW_OR_006A-1 Owyhee East               Vale North,30,30,30,30,15,15
NW_OR_007OTHER                         OTHER_2,,,,,,
NW_OR_007OTHER                         OTHER,30,,30,30,15,15
NW_OR_007THOUSAND/VIRGIN               THOUSAND/VIRGIN,45,,45,45,20,20
NW_OR_007ALVORD                        ALVORD SOUTH,60,,30,30,30,30
NW_OR_007ALVORD                        ALVORD NORTH,60,,60,60,30,30
NW_OR_007STEENS                        STEENS,,,60,60,15,15
NW_OR_007HOME CREEK                    HOME CREEK,,,60,60,15,15
NW_OR_007GUANO                         GUANO,45,,30,30,20,20
NW_OR_007DIAMOND                       DIAMOND,45,,45,45,30,30
NW_OR_007REFUGE                        REFUGE SOUTH,30,,15,15,10,15
NW_OR_007REFUGE                        REFUGE NORTH,30,,15,15,10,10
NW_OR_007LAKES                         LAKES,30,,45,45,10,10
NW_OR_007SILVER                        SILVER SOUTH,30,,45,45,20,20
NW_OR_007SILVER                        SILVER NORTH,30,,45,45,20,20
NW_OR_007UPPER MALHEUR                 UPPER MALHEUR,60,,45,45,20,20
NW_OR_007SILVIES                       SILVIES,60,,45,45,20,20
NW_OR_007SNOW MOUNTAIN                 SNOW MOUNTAIN SOUTH,60,,40,40,20,20
NW_OR_007SNOW MOUNTAIN                 SNOW MOUNTAIN NORTH,60,,60,60,30,30
NW_OR_008Desert West                   Desert_West_RD,15,,15,15,10,15
NW_OR_008State and Private GT500ac     State_and_Private_B,15,,15,15,10,15
NW_OR_008State and Private LT500ac     State_and_Private_A,15,,15,15,10,15
NW_OR_008Desert East                   Desert_East_North,15,,15,15,10,15
NW_OR_008Westside Reserved             Crest,15,,15,15,10,15
NW_OR_008Westside Reserved             Gearhart_RD,15,,15,15,10,15
NW_OR_008Desert West Reserved          Desert_West_Reserve,15,,15,15,10,15
NW_OR_008Fremont                       Fremont_RD,15,,15,15,10,15
NW_OR_008Cascade                       Cascade,15,,15,15,10,15
NW_OR_008Pumice                        Pumice,15,,15,15,10,15
NW_OR_008Williamson                    Williamson,15,,15,15,10,15
NW_OR_008Westside Reserved             Yamsay,15,,15,15,10,15
NW_OR_008Desert West                   Desert_West_LS,15,,15,15,10,15
NW_OR_008Desert East Reserved          Desert_East_Reser(2),15,,15,15,10,15
NW_OR_008Desert East Reserved          Desert_East_Reserve,15,,15,15,10,15
NW_OR_008Desert West Reserved          Desert_West_Reserved,15,,15,15,10,15
NW_OR_008Basin                         Basin,25,,30,30,10,15
NW_OR_008Fremont                       Fremont_1,15,,15,15,10,15
NW_OR_008Desert East                   Desert East_South,15,,15,15,10,15
NW_OR_008Desert West                   Desert_West,15,,15,15,10,15
NW_OR_008Crane Mountain                Crane_Mountain,15,,15,15,10,15
CA_CA_005BLM Berryessa                 BLM Berryessa,20,,20,20,10,45
